职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Python开发工程师,上海互教教育科技有限公司,上海-浦东新区,2年经验,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,08-11,1000-5000人,教育/培训/院校,民营公司,https://jobs.51job.com/chengdu-jnq/125020178.html
Python开发工程师,广州市卓为信息技术有限公司,广州-海珠区,2年经验,带薪假期多 牛人多 头部企业 五险一金 定期体检 13薪 节日福利,08-11,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137821671.html
python研发工程师,武汉泽塔云科技股份有限公司,北京-朝阳区,1年经验,五险一金 员工旅游 年终奖金 绩效奖金 股票期权 弹性工作 定期体检 专业培训 补充医疗保险 餐饮补贴,08-11,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137697733.html
python开发工程师 (MJ003855),浙江正泰安能电力系统工程有限公司,杭州-滨江区,3-4年经验,五险一金 交通补贴 餐饮补贴 年终奖金 定期体检 提供住宿 周末双休 带薪年假 加班工资,08-11,500-1000人,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/141527155.html
Python开发工程师,楚能新能源股份有限公司,武汉-江夏区,2年经验,,08-11,1000-5000人,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/139861107.html
Python开发工程师,埃克斯工业（广东）有限公司,深圳-南山区,3-4年经验,五险一金 年终奖金 定期体检 下午茶 节日关怀 带薪年假 弹性工作,08-11,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141394287.html
Python开发工程师,鹤礼实业（上海）有限公司,上海-普陀区,3-4年经验,,08-11,150-500人,家具/家电/玩具/礼品,民营公司,https://jobs.51job.com/chengdu-jnq/137517458.html
Python开发工程师,富士康科技集团CNSBG事业群,深圳-龙华区,3-4年经验,五险一金 专业培训 绩效奖金 年终奖金 定期体检 出国机会 补充医疗保险,08-11,10000人以上,通信/电信/网络设备,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/135116267.html
高级软件开发工程师（C/Python）,希捷国际科技（无锡）有限公司,江苏省,5-7年经验,带薪年假 五险一金 免费班车 节日福利 加班补贴,08-11,5000-10000人,计算机硬件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/135672994.html
Python开发工程师,拙思信息科技（上海）有限公司,上海-长宁区,2年经验,五险一金 周末双休 节假日福利 专业培训,08-11,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139136797.html
Python应用开发工程师,杭州展亮科技有限公司,杭州-余杭区,1年经验,五险一金 员工旅游 绩效奖金 餐饮补贴 定期体检,08-11,少于50人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/134369288.html
Python开发工程师-（南）,深圳普菲特信息科技股份有限公司,南昌,3-4年经验,五险一金 员工旅游 年终奖金 定期体检,08-11,150-500人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/141552442.html
Python开发工程师,国开启科量子技术（北京）有限公司,珠海-珠海高新区,5-7年经验,五险一金 周末双休,08-11,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/140326941.html
平台软件工程师（C/C++/python）,南京汇川工业视觉技术开发有限公司,南京,2年经验,五险一金 免费班车 年终奖金 定期体检 交通补贴 餐饮补贴 通讯补贴 带薪年假 节日福利 周末双休,08-11,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/121721281.html
Python开发工程师,北京引领时代网络科技有限公司,天津-河西区,3-4年经验,员工旅游 年终奖金 定期体检 带薪年假 专业培训,08-10,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140594379.html
python算法工程化,上海帆声图像科技有限公司,上海-浦东新区,3-4年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检,08-10,150-500人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/140077388.html
Python开发工程师（上市企业/双休）,深圳市网新新思软件有限公司,深圳-南山区,2年经验,五险一金 补充医疗保险 年终奖金 定期体检 员工旅游,08-10,1000-5000人,计算机服务(系统、数据服务、维修),上市公司,https://jobs.51job.com/chengdu-jnq/140488251.html
python 工程师,英业达（重庆）有限公司,重庆-沙坪坝区,3-4年经验,五险一金 免费班车 专业培训 年终奖金,08-10,10000人以上,计算机硬件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/133564808.html
python开发工程师,杭州迈可行通信股份有限公司,杭州-余杭区,1年经验,五险一金 餐饮补贴 绩效奖金,08-10,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/132419087.html
Python开发工程师,深圳微众信用科技股份有限公司,深圳,3-4年经验,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 员工旅游 定期体检,08-10,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/133225992.html
Python开发工程师（可实习）,大连方弘科技有限公司,大连-高新园区,无需经验,,08-10,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138057525.html
Consultant-DAS-Python开发工程师- Shenzhen,德勤企业管理咨询（上海浦东）有限公司,深圳-罗湖区,3-4年经验,五险一金 员工旅游 交通补贴 通讯补贴 年终奖金 专业培训 弹性工作 定期体检,08-10,150-500人,专业服务(咨询、人力资源、财会),外资（欧美）,https://jobs.51job.com/chengdu-jnq/141566752.html
AI开发工程师(python),华智生物技术有限公司,长沙-芙蓉区,3-4年经验,交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 员工旅游 六险一金,08-10,150-500人,学术/科研,民营公司,https://jobs.51job.com/chengdu-jnq/140514481.html
Python爬虫工程师,无锡车网信息技术有限公司,无锡-滨湖区,1年经验,周末双休 带薪年假 节日福利 生日惊喜 下午茶,08-10,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140374604.html
初级 Python 程序员（非计算机专业可投递）,凯盛融英信息科技（上海）股份有限公司,上海-静安区,无需经验,五险一金 补充医疗保险 通讯补贴 专业培训 绩效奖金 周末双休 带薪年假 节日福利,08-10,500-1000人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/138416876.html
Python开发工程师,双胞胎（集团）股份有限公司,南昌-青山湖区,3-4年经验,绩效奖金 年终奖金 五险 餐饮补贴 通讯补贴 股票期权,08-10,10000人以上,农/林/牧/渔,民营公司,https://jobs.51job.com/chengdu-jnq/137959370.html
Python开发工程师,深圳兆日科技股份有限公司,深圳-福田区,2年经验,五险一金 补充医疗保险 员工旅游 餐饮补贴 年终奖金 定期体检,08-09,150-500人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/116717788.html
Python后端开发工程师,友山基金管理有限公司,上海-浦东新区,2年经验,五险一金 补充公积金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 专业培训,08-09,50-150人,金融/投资/证券,民营公司,https://jobs.51job.com/chengdu-jnq/140982589.html
Python开发工程师,南京云信达科技有限公司,南京-江北新区,3-4年经验,五险一金 员工旅游 专业培训 通讯补贴 餐饮补贴 绩效奖金 年终奖金 股票期权 定期体检,08-09,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/100901761.html
Python后端,创珩工业科技（上海）有限公司,上海-嘉定区,2年经验,五险一金 绩效奖金 定期体检 节日福利 住房补贴 做五休二 年终奖金 交通补贴,08-09,150-500人,汽车,民营公司,https://jobs.51job.com/chengdu-jnq/140843381.html
中高级Python开发工程师（NLP团队）,小i机器人,上海,2年经验,,08-09,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139877658.html
Python开发工程师,深圳华大基因股份有限公司,北京-顺义区,3-4年经验,五险一金 通讯补贴 专业培训 定期体检 餐饮补贴 年终奖金 员工旅游 补充医疗保险,08-09,1000-5000人,制药/生物工程,上市公司,https://jobs.51job.com/chengdu-jnq/140625916.html
编程工程师（C/C++/Ruby/Python）,武汉敏声新技术有限公司,武汉-洪山区,无需经验,,08-09,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/136946208.html
Python开发工程师,苏州澜途科技有限公司,苏州-相城区,1年经验,带薪年假 五险一金 节日福利 绩效奖金 专业培训 年终奖金,08-09,少于50人,机械/设备/重工,创业公司,https://jobs.51job.com/chengdu-jnq/137393091.html
Python开发工程师,南京土星信息科技有限公司,南京-建邺区,3-4年经验,五险一金 餐饮补贴 弹性工作 年终奖金,08-09,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/138558472.html
Python开发工程师（珠海上班+远程面试 ）,北京汉克时代科技有限公司,广州,2年经验,,08-09,1000-5000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140086732.html
Python开发工程师,上海书钰软件开发中心,上海-闵行区,5-7年经验,五险一金 绩效奖金 年终奖金,08-09,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141602022.html
Python开发工程师,上海世沃新承科技有限公司,上海-徐汇区,1年经验,五险一金 专业培训,08-09,少于50人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/140383342.html
Python开发工程师,上海聚发全信息科技有限公司,上海-浦东新区,5-7年经验,五险一金 绩效奖金 股票期权 弹性工作 专业培训,08-09,50-150人,酒店/旅游,民营公司,https://jobs.51job.com/chengdu-jnq/136425226.html
Python开发工程师,东软云科技有限公司,上海-浦东新区,3-4年经验,带薪年假 交通补贴 节日福利 绩效奖金 专业培训 五险一金 周末双休,08-08,1000-5000人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/135868486.html
Python开发工程师,苏州博彦信息技术有限公司,苏州-工业园区,1年经验,弹性工作 无加班 周末双休 团队年轻,08-08,10000人以上,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/131785596.html
Python开发工程师,上海好才晤企业管理（集团）有限公司,上海-宝山区,2年经验,做五休二 带薪年假 五险一金 绩效奖金 节日福利 餐饮补贴 高温补贴 交通补贴 通讯补贴 定期体检,08-08,50-150人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/111777085.html
后端工程师-Django-python,思迹信息技术(苏州)有限公司,上海-浦东新区,5-7年经验,专业培训 绩效奖金 年终奖金 五险一金,08-08,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141324803.html
"高级开发工程师（Git,Python, Bash, or Lua）.",大连阿尔泰克信息技术有限公司,上海-松江区,3-4年经验,五险一金 试用期全额 外企 节假日福利 全额公积金 商业保险,08-08,500-1000人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/139045941.html
Python开发工程师 (MJ000115),北京永信至诚科技股份有限公司,北京-海淀区,5-7年经验,五险一金 餐饮补贴 弹性工作 定期体检 补充医疗保险 专业培训 年终奖金,08-08,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/131907927.html
python开发工程师（无锡）(J10574),善诚科技发展（上海）有限公司无锡分公司,无锡-无锡新区,2年经验,五险一金 补充医疗保险 交通补贴 出国机会 年终奖金 定期体检,08-08,150-500人,计算机服务(系统、数据服务、维修),外资（非欧美）,https://jobs.51job.com/chengdu-jnq/140923295.html
Python开发工程师,东莞市润衡关务信息技术有限公司,东莞-南城区,2年经验,五险一金 绩效奖金 年终奖金 专业培训 全勤奖 带薪年假,08-08,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137905508.html
Python开发工程师,深圳市德明利技术股份有限公司,深圳-福田区,1年经验,五险一金 员工旅游 绩效奖金 专业培训 定期体检 年终奖金,08-08,150-500人,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/140486211.html
后端python开发工程师,PORTS,厦门-集美区,2年经验,,08-08,5000-10000人,服装/纺织/皮革,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/136783301.html
Python开发工程师,北京芯同汇科技有限公司,北京-昌平区,3-4年经验,绩效奖金 节日福利 弹性工作 专业培训 餐饮补贴 带薪年假 做一休一 水果零食,08-08,少于50人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/136174084.html
Python工程师,名商科技有限公司,惠州,3-4年经验,五险一金 员工旅游 绩效奖金 年终奖金 专业培训 餐饮补贴,08-08,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141116746.html
Python人工智能,杭州胜蓝软件有限公司,杭州-滨江区,1年经验,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,08-08,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/134301845.html
